division,wod 1 mean,wod 1 min,wod 1 max,wod 2 mean,wod 2 min,wod 2 max,wod 3 mean,wod 3 min,wod 3 max
elite_men,7:08,4:58,14:43,30.3,6,113,283,175,365
teen_16_boys,8:31,5:22,15:47,22.9,1,36,241,132,338
int_men,9:42,2:29,24:20:00,22.4,1,48,236,125,337
mast_men_35,8:54,5:18,16:22,25.9,9,39,259,145,335
mast_men_40,9:38,5:46,17:00,24.3,7,41,247,135,330
mast_men_45,10:29,3:50,19:16,22.6,1,40,229,140,300
mast_men_50,11:43,6:37,19:20,18.7,1,33,216,135,280
teen_13_boys,9:41,5:08,15:03,25.6,4,39,178,100,265
elite_women,7:55,5:25,13:32,31.2,13,43,196,143,250
mast_men_55,12:05,3:17,18:33,14.4,4,31,192,120,236
mast_women_40,10:32,5:57,15:17,22.9,8,37,165,85,225
teen_16_girls,10:56,6:27,23:20,20.8,2,35,160,99,225
int_women,10:49,3:15,20:00,21.4,1,115,151,1,225
mast_women_35,9:49,6:34,16:36,25.8,4,36,172,105,222
teen_13_girls,10:59,5:53,17:23,32.4,12,50,138,75,205
mast_women_45,11:27,7:36,15:28,19.9,3,35,146,65,195
mast_women_50,12:13,7:15,15:35,15.8,3,30,140,95,185
mast_women_55,13:29,7:03,16:36,10.6,1,24,120,75,160
