division,wod 1 mean,wod 1 min,wod 1 max,wod 2 mean,wod 2 min,wod 2 max,wod 3 mean,wod 3 min,wod 3 max,wod 4 mean,wod 4 min,wod 4 max,wod 5 mean,wod 5 min,wod 5 max,wod 6 mean,wod 6 min,wod 6 max,wod 7 mean,wod 7 min,wod 7 max
elite_men,07:08,04:58,14:43,30.304606240713223,6.0,113.0,283.4586775631501,175.0,365.0,120.71722846441948,47.0,169.0,184.53537284894838,94.0,284.0,2284.646226415094,1142.0,2527.0,147.54911838790932,5.0,404.0
elite_women,07:55,05:25,13:32,31.217877094972067,13.0,43.0,195.78558659217873,143.0,250.0,136.21052631578948,65.0,183.0,187.2565789473684,90.0,322.0,2053.07421875,1833.0,2246.0,183.89795918367346,8.0,572.0
int_men,09:42,02:29,24:20,22.351446718419197,1.0,48.0,235.75440451021845,125.0,337.0,130.56652360515022,4.0,320.0,182.34920634920636,71.0,323.0,2173.8946301925025,1724.0,3101.0,126.59977949283352,11.0,574.0
int_women,10:49,03:15,20:00,21.38183694530444,1.0,115.0,151.13429743589745,1.0,225.0,156.9031100478469,2.0,278.0,173.40514075887393,30.0,358.0,1917.4165497896213,1.0,2350.0,152.95833333333334,1.0,1168.0
mast_men_35,08:54,05:18,16:22,25.94736842105263,9.0,39.0,258.646563876652,145.0,335.0,108.32642487046633,47.0,160.0,158.15343915343917,65.0,358.0,2229.0246913580245,1856.0,2489.0,102.08783783783784,16.0,228.0
mast_women_35,09:49,06:34,16:36,25.773722627737225,4.0,36.0,171.8888321167883,105.0,222.0,123.08064516129032,52.0,179.0,158.24166666666667,90.0,240.0,1985.6701030927834,1410.0,2254.0,125.78350515463917,10.0,258.0
mast_men_40,09:36,05:46,15:35,24.203208556149733,5.0,41.0,246.50508021390374,135.0,330.0,102.10204081632654,1.0,157.0,155.0,90.0,250.0,2188.282258064516,142.0,2457.0,93.25641025641026,19.0,214.0
mast_women_40,10:32,05:57,15:17,22.91588785046729,8.0,37.0,165.00934579439252,85.0,225.0,120.03157894736842,63.0,205.0,161.01052631578946,1.0,330.0,1972.551282051282,1574.0,2143.0,101.67532467532467,15.0,280.0
mast_men_45,10:29,03:50,19:16,22.630573248407643,1.0,40.0,228.91835443037974,140.0,300.0,134.28082191780823,4.0,212.0,178.20422535211267,90.0,285.0,2157.151515151515,158.0,2401.0,130.31451612903226,1.0,312.0
mast_women_45,11:27,07:36,15:28,19.85542168674699,3.0,35.0,145.75547619047617,65.0,195.0,165.30769230769232,60.0,233.0,172.82051282051282,30.0,295.0,1907.7205882352941,1370.0,2126.0,164.9090909090909,1.0,646.0
mast_men_50,11:43,06:37,19:20,18.685714285714287,1.0,33.0,215.60399999999998,135.0,280.0,125.25,66.0,159.0,159.13541666666666,81.0,254.0,2143.8314606741574,1820.0,2376.0,100.39024390243902,17.0,213.0
mast_women_50,12:17,07:15,15:35,15.76595744680851,3.0,30.0,139.6208510638298,95.0,185.0,162.4468085106383,56.0,219.0,153.53191489361703,80.0,280.0,1896.4222222222222,1695.0,2071.0,132.20454545454547,18.0,406.0
mast_men_55,12:05,03:17,18:33,14.404761904761905,4.0,31.0,191.7093023255814,120.0,236.0,115.14634146341463,69.0,154.0,161.125,80.0,570.0,2097.3333333333335,1829.0,2275.0,119.1891891891892,20.0,213.0
mast_women_55,13:29,07:03,16:36,10.619047619047619,1.0,24.0,120.2552380952381,75.0,160.0,138.25,87.0,183.0,131.6,80.0,268.0,1832.3684210526317,1717.0,1909.0,104.6842105263158,20.0,214.0
teen_13_boys,09:41,05:08,15:03,25.58108108108108,4.0,39.0,178.47013513513514,100.0,265.0,121.40579710144928,47.0,177.0,183.54545454545453,85.0,292.0,2049.203125,1680.0,2294.0,223.0,24.0,826.0
teen_13_girls,10:59,05:53,17:23,32.340425531914896,12.0,50.0,138.1536170212766,75.0,205.0,153.0222222222222,72.0,225.0,178.41758241758242,80.0,354.0,1843.0117647058823,1579.0,2121.0,297.2325581395349,44.0,720.0
teen_16_boys,08:31,05:22,15:47,22.88,1.0,36.0,240.55671052631575,132.0,338.0,136.8030303030303,67.0,184.0,200.61363636363637,100.0,306.0,2186.283185840708,1890.0,2552.0,144.5648148148148,8.0,429.0
teen_16_girls,10:56,06:27,23:20,20.843478260869563,2.0,35.0,160.4295652173913,99.0,225.0,165.27450980392157,77.0,228.0,182.4607843137255,61.0,320.0,1938.4945054945056,1697.0,2169.0,181.29545454545453,24.0,489.0
