Name,WOD 1,WOD 2,WOD 3,WOD 4,WOD 5,WOD 6,WOD 7
NORMAN  WOODRING ,312.0,37.0,327.0,154.0,261.0,2501.0,307.0
NIK HECHT ,317.0,42.0,325.0,158.0,234.0,2480.0,261.0
SAMUEL COURNOYER ,315.0,40.0,347.0,146.0,244.0,2380.0,373.0
TRAVIS MEAD,325.0,38.0,335.0,155.0,230.0,2516.0,286.0
DREW WAYMAN,318.0,42.0,327.0,161.0,227.0,2464.0,256.0
PAUL CASTILLO,310.0,39.0,315.0,150.0,242.0,2442.0,297.0
RYAN  REEVES ,327.0,42.0,346.0,159.0,219.0,2419.0,259.0
DEX  HOPKINS ,327.0,36.0,342.0,155.0,241.0,2408.0,284.0
MITCH BARNARD,312.0,45.0,330.0,150.0,233.0,2400.0,231.0
TREVOR  JAMES,342.0,39.0,362.0,155.0,229.0,2441.0,283.0
JOSH GERVAIS,312.0,39.0,327.0,150.0,229.0,2377.0,280.0
JUSTIN MEDEIROS,317.0,36.0,330.0,152.0,243.0,2391.0,251.0
GEORGE  SANCHEZ ,337.0,37.0,335.0,153.0,239.0,2413.0,237.0
DYLAN MARTIN,316.0,38.0,307.0,149.0,265.0,2410.0,287.0
NICK BLOCH,327.0,39.0,325.0,157.0,220.0,2446.0,234.0
JOSH WOODHULL,303.0,37.0,307.0,150.0,240.0,2428.0,303.0
LOGAN  SOUTHARD ,330.0,38.0,331.0,152.0,242.0,2336.0,323.0
JEFFREY ADLER,335.0,36.0,337.0,146.0,236.0,2426.0,263.0
HUNTER WOOD,338.0,40.0,331.0,152.0,224.0,2452.0,213.0
AUSTIN SPENCER,308.0,38.0,320.0,144.0,229.0,2376.0,305.0
JAKE FRYE,300.0,40.0,325.0,151.0,236.0,2258.0,283.0
TYLER EGGIMANN,321.0,36.0,325.0,147.0,236.0,2341.0,285.0
HAL FISHER,301.0,38.0,305.0,155.0,240.0,2361.0,207.0
JOHN-PAUL HETHCOCK,312.0,38.0,330.0,135.0,224.0,2405.0,186.0
TUCKER MCLEMORE,314.0,37.0,307.0,152.0,222.0,2410.0,212.0
JAKE  FLOEN,320.0,35.0,315.0,145.0,229.0,2448.0,257.0
BRONISŁAW OLENKOWICZ,336.0,40.0,333.0,142.0,180.0,2475.0,259.0
LOGAN  FREY ,333.0,37.0,335.0,132.0,227.0,2406.0,235.0
MATTHEW  GREENE ,325.0,35.0,321.0,158.0,224.0,2455.0,182.0
AGUSTIN  RICHELME,298.0,38.0,312.0,139.0,270.0,2286.0,308.0
MITCH SPJUT ,337.0,38.0,315.0,140.0,270.0,2326.0,403.0
STEFANO CAROSSO,334.0,35.0,309.0,156.0,234.0,2474.0,211.0
GUILHERME  DOMINGUES,345.0,36.0,337.0,145.0,240.0,2385.0,184.0
ETHAN EMERY,364.0,38.0,308.0,161.0,216.0,2483.0,282.0
MATT MORTON,324.0,33.0,308.0,149.0,226.0,2506.0,258.0
TYLER TOSUNIAN,326.0,36.0,322.0,151.0,234.0,2345.0,167.0
KENNETH HART,357.0,37.0,321.0,145.0,228.0,2417.0,232.0
LAYNE PALM,319.0,36.0,320.0,141.0,222.0,2355.0,215.0
NICK MATHEW,335.0,35.0,315.0,140.0,233.0,2396.0,258.0
DEREK ABDELNOUR,298.0,41.0,285.0,138.0,237.0,2383.0,240.0
CAM CROCKETT,324.0,36.0,307.0,149.0,215.0,2410.0,208.0
ELVIS KRANSKI,344.0,37.0,325.0,145.0,220.0,2358.0,212.0
JOSH  MATTES ,356.0,37.0,337.0,128.0,232.0,2390.0,237.0
JIMMY WOODARD ,319.0,37.0,325.0,137.0,207.0,2445.0,160.0
JAMES MORRIS,359.0,34.0,341.0,149.0,246.0,2402.0,182.0
NICK AGOSTINELLI,347.0,37.0,317.0,148.0,255.0,2296.0,215.0
GUILHERME MALHEIROS,315.0,35.0,336.0,143.0,243.0,2296.0,164.0
BLAKE  TORNES,337.0,40.0,295.0,146.0,252.0,2410.0,157.0
DALTON MANKIN,338.0,38.0,325.0,135.0,247.0,2302.0,190.0
STEVEN BIDWELL,328.0,36.0,302.0,146.0,250.0,2327.0,257.0
MARTY MCLAIN,341.0,37.0,315.0,141.0,227.0,2365.0,206.0
OMAR  MARTINEZ,342.0,34.0,326.6,141.0,273.0,2298.0,280.0
WILL HALL,401.0,39.0,350.0,144.0,201.0,2421.0,238.0
RYAN VENTURA,335.0,36.0,315.0,144.0,221.0,2333.0,256.0
JULIAN ALCARAZ,339.0,36.0,325.0,151.0,219.0,2323.0,188.0
ADAM WARNER,371.0,39.0,315.0,145.0,233.0,2390.0,187.0
STEVEN SMARIDGE,408.0,39.0,320.0,147.0,220.0,2416.0,260.0
TYLER CHRISTOPHEL,322.0,32.0,325.0,152.0,221.0,2313.0,285.0
MARCO ALEJANDRO,342.0,34.0,317.0,135.0,239.0,2373.0,232.0
MAKSIM NIKULIN,314.0,37.0,320.0,124.0,226.0,2337.0,189.0
TIMOTHY KAVANAGH,344.0,36.0,285.0,147.0,230.0,2523.0,252.0
JOSH HABECK,352.0,38.0,285.0,156.0,230.0,2387.0,233.0
ANDREW MORCILLO,310.0,33.0,317.0,146.0,205.0,2325.0,212.0
CHRISTIAN RUIZ,330.0,41.0,300.0,154.0,186.0,2342.0,186.0
ADAM DE JONG,339.0,36.0,285.0,161.0,221.0,2420.0,210.0
PETER MASON,325.0,34.0,305.0,135.0,236.0,2361.0,212.0
CASEY CRABLE,363.0,38.0,330.0,129.0,179.0,2417.0,236.0
FABIAN  BENEITO SELLES,329.0,36.0,311.0,140.0,213.0,2323.0,210.0
REILLY GOOD ,349.0,38.0,345.0,136.0,175.0,2385.0,164.0
JOE PASSALAQUA,309.0,31.0,297.6,147.0,253.0,2362.0,210.0
ARIEL  FERNANDEZ,365.0,36.0,325.0,139.0,200.0,2371.0,213.0
PHILLIP GUILLOT,358.0,37.0,322.0,134.0,196.0,2347.0,236.0
DANIEL SMITH,387.0,35.0,297.6,160.0,226.0,2527.0,235.0
HUDSON WIKOFF,347.0,36.0,325.0,146.0,175.0,2366.0,186.0
ZACK GRIFFITH,358.0,37.0,317.0,138.0,216.0,2273.0,277.0
SALVADOR  FLORES,343.0,36.0,307.0,132.0,217.0,2411.0,165.0
SHAWN BHATTI,327.0,37.0,285.0,135.0,223.0,2364.0,212.0
MIKE SABATO,328.0,37.0,300.0,126.0,207.0,2375.0,211.0
AARON KNISLEY,316.0,31.0,326.0,145.0,177.0,2394.0,184.0
FLETCHER ROBERTS,362.0,35.0,342.0,136.0,197.0,2460.0,124.0
JAMES HOBART,325.0,34.0,295.0,142.0,221.0,2351.0,211.0
ANGELO-NICOLA SARAN,350.0,33.0,335.0,131.0,210.0,2360.0,205.0
TYLER LLOYD,348.0,37.0,306.0,141.0,259.0,2297.0,140.0
LUIS MONGE,354.0,36.0,320.0,123.0,218.0,2355.0,208.0
GIORGIO SARKIS,326.0,36.0,297.0,146.0,202.0,2325.0,172.0
LANCE CASTLE,326.0,32.0,305.0,138.0,205.0,2381.0,232.0
DENIS SAMSONOV,353.0,36.0,325.0,133.0,215.0,2321.0,166.0
KEVIN STEINHAUS,422.0,33.0,315.0,154.0,210.0,2407.0,404.0
STEPHEN WALLACE,359.0,35.0,327.0,133.0,250.0,2217.0,233.0
NATE DIETZENBACH,341.0,35.0,310.0,129.0,218.0,2369.0,164.0
BOWMAN ALLEN,417.0,37.0,325.0,140.0,221.0,2342.0,187.0
YVES-ÉRIC PILOTE,304.0,34.0,290.0,135.0,233.0,2337.0,167.0
MANFREDI OTTAVI,324.0,38.0,270.0,146.0,210.0,2389.0,167.0
IVAN VERDUN,338.0,36.0,283.5,136.0,236.0,2308.0,259.0
CHARLES  JAX,365.0,33.0,295.0,146.0,251.0,2321.0,262.0
DANIEL DODD,353.0,37.0,325.0,145.0,178.0,2273.0,166.0
BRANDON  FOOR,352.0,30.0,300.0,141.0,226.0,2457.0,282.0
CHRIS KILLIAN,319.0,34.0,340.0,124.0,192.0,2254.0,187.0
JUSTIN REIDELBACH,398.0,36.0,335.0,147.0,171.0,2336.0,212.0
ADAM OSMOE,324.0,35.0,275.0,140.0,242.0,2312.0,208.0
MARIANO SANCHEZ,356.0,33.0,308.0,139.0,210.0,2316.0,261.0
GABRIEL GIROUX,369.0,37.0,287.0,145.0,176.0,2431.0,236.0
ERIC EVANS,342.0,35.0,302.0,148.0,215.0,2253.0,188.0
CORY STABENOW,350.0,35.0,300.0,137.0,235.0,2339.0,144.0
JORDAN CHOVANEC,312.0,37.0,285.0,125.0,228.0,2306.0,180.0
KYLE BERNIER,316.0,35.0,247.0,155.0,247.0,2410.0,120.0
MIKE NEEDLEMAN,359.0,33.0,302.0,145.0,220.0,2333.0,212.0
MARCUS  KWAK,312.0,33.0,303.5,134.0,238.0,2234.0,185.0
CHASE RILEY,361.0,33.0,293.0,142.0,220.0,2376.0,215.0
MITCH MCCLUNE,353.0,36.0,307.0,140.0,222.0,2257.0,141.0
BRYAN MCDERMOTT,363.0,33.0,307.0,137.0,178.0,2370.0,232.0
KEANU  REDONGO,299.0,32.0,305.0,150.0,212.0,2242.0,135.0
MATT CALCAGNINI,335.0,33.0,277.0,141.0,172.0,2492.0,262.0
BEN BIZZELL,363.0,38.0,290.0,141.0,168.0,2432.0,186.0
CASEY  VIATOR,341.0,31.0,320.0,126.0,180.0,2411.0,157.0
BRIAN  HUYNH,314.0,36.0,275.0,128.0,236.0,2264.0,186.0
JOSH GODINEZ,428.0,34.0,317.0,129.0,232.0,2337.0,211.0
ZACH MOSBARGER,351.0,35.0,285.0,135.0,240.0,2291.0,187.0
ERIC BAYLISS,405.0,37.0,315.0,142.0,180.0,2262.0,208.0
SEAN FOX,336.0,33.0,270.0,136.0,236.0,2336.0,235.0
BEN  MANGANARO,357.0,33.0,307.0,123.0,219.0,2381.0,158.0
ALBERT NAUGLE GUDIÑO,394.0,34.0,302.0,133.0,221.0,2379.0,185.0
EVAN ROGERS,343.0,37.0,255.0,138.0,210.0,2390.0,165.0
CARLOS ZAYAS,346.0,35.0,322.0,121.0,177.0,2345.0,116.0
BEN VAN PELT,363.0,31.0,301.0,144.0,203.0,2387.0,162.0
REINY PARRADO,346.0,35.0,290.0,140.0,252.0,2224.0,127.0
SERGIO BRICENO,356.0,32.0,305.0,142.0,190.0,2303.0,182.0
TANNER STAHL,353.0,31.0,290.0,144.0,220.0,2288.0,236.0
DAIMINO  STEWART ,412.0,36.0,325.0,134.0,180.0,2306.0,140.0
NICK ANAPOLSKY,331.0,34.0,276.0,150.0,179.0,2348.0,116.0
GIOVANNI OCAMPO,354.0,31.0,340.0,123.0,174.0,2338.0,184.0
ALEX MILLER,355.0,33.0,286.0,134.0,185.0,2377.0,181.0
MICHAEL FUERTES,344.0,36.0,300.0,113.0,249.0,2233.0,163.0
JORDAN  ROLAND,341.0,35.0,315.0,122.0,176.0,2287.0,160.0
PEYTON YANDEL,342.0,33.0,285.0,131.0,214.0,2297.0,200.0
BEN NEWELL,443.0,35.0,320.0,145.0,150.0,2504.0,186.0
KEN ENSTROM,366.0,35.0,295.0,136.0,186.0,2231.0,233.0
JAMES TAPP,331.0,33.0,287.0,133.0,224.0,2247.0,142.0
BRYCE CARLSON,350.0,29.0,301.0,144.0,210.0,2358.0,138.0
VICENTE  AZUA,362.0,33.0,312.0,128.0,195.0,2273.0,164.0
ZACHARIAH JONES,409.0,37.0,325.0,126.0,171.0,2333.0,140.0
CHRIS WERTH,375.0,33.0,300.0,146.0,170.0,2374.0,166.0
MATTHEW BURKE,311.0,37.0,276.0,113.0,185.0,2338.0,141.0
MATEUS  FERRO ,380.0,36.0,305.0,128.0,179.0,2259.0,187.0
ANDREW FODERA,411.0,38.0,305.0,127.0,171.0,2381.0,140.0
JAKE MULLEN,403.0,32.0,305.0,133.0,207.0,2324.0,191.0
JORDAN HAYWARD,375.0,32.0,331.0,125.0,170.0,2320.0,188.0
PAOLO ROSSIL,403.0,35.0,322.5,99.0,199.0,2304.0,215.0
CODY STARK,327.0,32.0,301.0,118.0,179.0,2277.0,185.0
STEPHEN  TREVINO ,514.0,30.0,340.0,128.0,205.0,2357.0,210.0
NATE  SCOLA,371.0,34.0,277.0,139.0,164.0,2427.0,187.0
AARON HERNANDEZ,350.0,34.0,285.0,125.0,197.0,2311.0,136.0
ERIK  FAY,372.0,33.0,285.0,147.0,180.0,2308.0,136.0
CRISTHIAN SANTIAGO,377.0,31.0,345.0,118.0,180.0,2312.0,119.0
GRAHAM WINCHESTER,382.0,34.0,307.0,124.0,183.0,2308.0,117.0
ZACHARY HALL,372.0,33.0,315.0,122.0,174.0,2333.0,116.0
MATT KEETER,350.0,32.0,277.0,124.0,179.0,2421.0,137.0
TOM WATSON,355.0,31.0,287.0,117.0,207.0,2305.0,214.0
HENRY ULLOA,372.0,34.0,335.0,115.0,178.0,2181.0,141.0
NATHAN CONTRERAS,374.0,33.0,325.0,124.0,178.0,2121.0,160.0
