Name,WOD 1,WOD 2,WOD 3,WOD 4,WOD 5,WOD 6,WOD 7
JARED MALAGON,491.0,29.0,275.0,320.0,159.0,2326.0,163.0
JAMES  SMITH,615.0,27.0,277.5,123.0,161.0,2188.0,89.0
JIMMY TOLLISON,688.0,20.0,245.0,129.0,157.0,2149.0,120.0
CURTIS  DYER,630.0,25.0,225.0,123.0,150.0,2116.0,88.0
REUBEN JACKSON,664.0,20.0,245.0,112.0,130.0,2402.0,69.0
TODD STUART ,720.0,22.0,215.0,127.0,255.0,2346.0,33.0
ALEXANDER  PENA,340.0,21.0,225.0,115.0,169.0,2151.0,70.0
BEN FOSTER,440.0,16.0,205.0,146.0,220.0,2126.0,88.0
MICHAEL JOHNSON,890.0,20.0,225.0,115.0,220.0,2234.0,68.0
NATHAN  KING,681.0,19.0,225.0,106.0,214.0,2224.0,23.0
NATHANIEL SMITH,602.0,13.0,202.0,118.0,249.0,2232.0,68.0
LUIS VALLE,723.0,17.0,220.0,105.0,287.0,2021.0,109.0
JUSTIN BUSSARD,790.0,15.0,205.0,97.0,267.0,2225.0,69.0
ADAM ST. GERMAIN,882.0,18.0,145.0,146.0,130.0,2204.0,45.0
AARON CROUCH,720.0,17.0,205.0,106.0,246.0,2036.0,69.0
CAM MOLINA,620.0,9.0,175.0,104.0,160.0,2221.0,47.0
JUAN CARLOS  ALVAREZ GARCIA,612.0,11.0,195.0,112.0,102.0,2152.0,94.0
RYAN HANSEN,646.0,7.0,319.1,4.0,96.0,1821.0,16.0
CARLOS ARMIJO,477.0,8.0,205.0,84.0,233.0,2023.0,50.0
JEFF CHENERY,806.0,11.0,205.0,119.0,155.0,2038.0,140.0
WILMER  LINO,636.0,27.0,166.0,86.0,255.0,1927.0,240.0
JEREMY GRIFFIN,743.0,13.0,225.0,91.0,93.0,2129.0,90.0
KYLE SMITH,655.0,8.0,185.0,105.0,151.0,2091.0,90.0
THOMAS DOZER,876.0,11.0,205.0,109.0,222.0,2203.0,42.0
WALTER MENENDEZ,755.0,17.0,200.0,113.0,242.0,2102.0,113.0
TRAVIS GAUDET,622.0,16.0,205.0,84.0,115.0,1956.0,138.0
COREY THOMAS,818.0,17.0,225.0,87.0,217.0,1972.0,64.0
