Name,WOD 1,WOD 2,WOD 3,WOD 4,WOD 5,WOD 6,WOD 7
SADIE DUNAWAY,461.0,32.0,212.8,212.0,230.0,2113.0,430.0
SHELBY JONES,458.0,34.0,192.0,211.0,255.0,2101.0,335.0
JESSYCA  NADEAU ,433.0,28.0,205.0,216.0,278.0,2071.0,496.0
ALYSHA TROYER,489.0,34.0,207.0,216.0,239.0,2059.0,380.0
KRISTIN LEBLANC,487.0,33.0,185.0,221.0,234.0,2109.0,428.0
KATHERINE ROSS,394.0,25.0,205.0,278.0,286.0,2139.0,501.0
JANETH REYES ,479.0,32.0,190.0,195.0,311.0,2169.0,336.0
LINDSEY GRASIS,471.0,37.0,195.0,188.0,241.0,2114.0,596.0
KIM CHARTRAND,422.0,33.0,190.0,209.0,288.0,2001.0,474.0
EMILY PEARCE,385.0,32.0,185.0,205.0,202.0,2143.0,380.0
ERICA BUCHHOLZ,478.0,34.0,185.0,229.0,204.0,2150.0,263.0
MYRIAM PLAMONDON,424.0,30.0,190.0,224.0,223.0,2036.0,406.0
BRENDA TORRES ,500.0,36.0,195.0,227.0,240.0,2001.0,474.0
VALÉRIE BOILEAU,446.0,31.0,185.0,208.0,258.0,2024.0,427.0
CHRISTELLE EL DEBS,394.0,29.0,188.0,222.0,253.0,2016.0,404.0
KATIE HARPER,486.0,29.0,195.0,206.0,227.0,2064.0,309.0
LINDSEY  GLEASON,514.0,29.0,200.0,203.0,210.0,2086.0,429.0
LINDSEY PHILLIPS,507.0,32.0,195.0,193.0,224.0,2070.0,308.0
LOTTE HELLEBUYCK,512.0,37.0,215.0,192.0,199.0,2193.0,261.0
SHANNON MCGUIRE,527.0,35.0,200.0,224.0,153.0,2154.0,405.0
ALANIS COUTURIER,483.0,33.0,197.0,199.0,300.0,2007.0,235.0
COURTNEY ROSELLE,450.0,29.0,190.0,200.0,205.0,2092.0,283.0
AMY JONES,422.0,33.0,190.0,220.0,150.0,2128.0,334.0
MELISSA  BERKE,496.0,32.0,207.0,196.0,212.0,2006.0,598.0
VICTORIA ASHLEY,447.0,32.0,211.0,178.0,211.0,2077.0,404.0
GINA DELUCIA,416.0,29.0,165.0,235.0,243.0,2070.0,500.0
ZAIRA GUADALUPE ALFANO CHAVEZ,450.0,28.0,187.0,199.0,210.0,2054.0,504.0
JENNA LUEBBERS,458.0,28.0,190.0,196.0,268.0,2021.0,359.0
SHERI  WALSH,477.0,31.0,171.0,216.0,225.0,2081.0,358.0
CRISTINA BAYARDELLE,396.0,32.0,177.0,219.0,218.0,2018.0,284.0
MARY LAW,468.0,31.0,180.0,226.0,201.0,2077.0,235.0
JAMIE MCELWAIN,478.0,31.0,197.0,195.0,156.0,2108.0,286.0
JULIA KAMIDE,500.0,28.0,170.0,221.0,277.0,2071.0,720.0
CANDACE RUBENSTEIN,418.0,31.0,197.0,191.0,277.0,1961.0,358.0
