Name,WOD 1,WOD 2,WOD 3,WOD 4,WOD 5,WOD 6,WOD 7
EMILY BUCKSATH,606.0,35.0,205.0,199.0,150.0,2057.0,209.0
MADDIE SISCO,715.0,18.0,137.0,224.0,345.0,2020.0,286.0
JORDAN BORK,345.0,9.0,135.0,170.0,339.0,1910.0,168.0
JENNIE KAUFMAN,720.0,22.0,167.0,126.0,189.0,1994.0,72.0
KIM MCINTYRE,421.0,37.0,135.0,177.0,258.0,2067.0,141.0
ELIZABETH LEGG,646.0,20.0,160.0,90.0,150.0,1951.0,48.0
SAMANTHA GREEN,883.0,16.0,155.0,180.0,175.0,2000.0,117.0
DANIELLE SHANINE,532.0,19.0,155.0,195.0,344.0,1896.0,215.0
ELIZABETH  WHALEY ,820.0,51.0,122.0,209.0,150.0,1936.0,142.0
JULIE KENT,466.0,23.0,95.0,116.0,235.0,1857.0,66.0
KAYLA TONEY,266.0,17.0,155.0,124.0,150.0,1932.0,115.0
KARLA RENEE CORTEZ,766.0,18.0,155.0,146.0,175.0,1943.0,86.0
LAURA GOMEZ,456.0,22.0,150.0,155.0,240.0,1960.0,84.0
TIFFANY HEAD,472.0,16.0,147.0,160.0,90.0,1957.0,116.0
HANNAH BAUTA,387.0,21.0,165.0,88.0,260.0,2060.0,64.0
RACHEL DYER-NEIDHOLDT,870.0,20.0,150.0,200.0,255.0,1803.0,48.0
SANDY SUN,885.0,8.0,127.0,178.0,320.0,2052.0,93.0
CRYSTAL  BURT,825.0,12.0,125.0,195.0,150.0,1802.0,190.0
NICHOLE MCGOWAN,720.0,16.0,155.0,175.0,153.0,1889.0,142.0
AMANDA TSCHIRHART,862.0,10.0,130.0,171.0,277.0,2030.0,45.0
JENNIFER GRAHAM,790.0,17.0,155.0,96.0,280.0,1978.0,94.0
ANDREA HOSMER,263.0,40.0,125.0,188.0,290.0,1949.0,212.0
RENEE KNUROWSKI,731.0,23.0,130.0,180.0,290.0,1952.0,138.0
CRYSTAL BROX,894.0,18.0,135.0,156.0,272.0,1956.0,45.0
SUMMER BLACK,880.0,15.0,140.0,154.0,235.0,1970.0,46.0
ELIANA CASTRO,864.0,21.0,165.0,86.0,260.0,1736.0,84.0
SARAH LASKARES,751.0,20.0,145.0,148.0,111.0,2022.0,92.0
KELSEY WILLIAMS,808.0,13.0,140.0,162.0,119.0,1828.0,68.0
JILL AIELLO,668.0,11.0,125.0,120.0,150.0,1874.0,191.0
FELLON CHEUNG,840.0,16.0,145.0,151.0,248.0,1778.0,89.0
YADIRA PEREZ,642.0,28.0,105.0,116.0,120.0,1721.0,72.0
LARYSA REED,880.0,24.0,105.0,164.0,201.0,1885.0,40.0
KATIE MOORKAMP,646.0,16.0,155.0,79.0,90.0,2006.0,39.0
LAURIN VILLEDA,761.0,16.0,150.0,128.0,309.0,1767.0,60.0
AMBER MCLAUGHLIN,870.0,18.0,155.0,152.0,115.0,1977.0,89.0
KRYSTLE BRACKETT,800.0,0.0,110.0,163.0,93.0,1972.0,120.0
SHARON CECILIANO,267.0,39.0,115.0,162.0,307.0,1978.0,116.0
MARIE BEASLEY,375.0,12.0,135.0,153.0,255.0,1970.0,44.0
MOLLY DALTON,714.0,36.0,105.0,167.0,90.0,1868.0,40.0
YELIMA  PINTO ,455.0,35.0,135.0,144.0,175.0,2350.0,116.0
PRISCILLA AUSTIN,720.0,17.0,155.0,149.0,195.0,2012.0,106.0
TAYLOR PAYNE,408.0,10.0,176.37,111.0,90.0,1852.0,17.0
GIULIA ISETTI,546.0,15.0,145.0,171.0,285.0,1986.0,179.0
ALEJANDRA  GARCÍA FIGUEROA,788.0,11.0,145.0,119.0,108.0,1877.0,207.0
AMANDA RICCITELLI,720.0,1.0,115.0,130.0,113.0,1865.0,93.0
LINNEA CULLINGS ,720.0,49.0,105.0,138.0,157.0,1786.0,188.0
CRYSTAL  DAVENPORT ,832.0,17.0,145.0,88.0,96.0,1715.0,20.0
LAUREN NEIDENFEUHR,320.0,40.0,122.0,190.0,250.0,2098.0,90.0
JASMINE GASCON,322.0,20.0,140.0,185.0,350.0,1815.0,216.0
LISHA WATSON,900.0,14.0,145.0,67.0,150.0,1957.0,46.0
DENISE FARMER ,367.0,14.0,150.0,168.0,264.0,1880.0,264.0
LINDSEY WEIDENBACH,279.0,35.0,105.0,157.0,310.0,1913.0,90.0
JESSICA SILBERLING,838.0,30.0,110.0,122.0,155.0,1784.0,43.0
TEAGAN HALL,351.0,11.0,135.0,110.0,285.0,1956.0,284.0
DANIELLE JAROUSSE,766.0,17.0,155.0,116.0,358.0,1893.0,58.0
KRYSTAL SMUDA,353.0,27.0,110.0,156.0,238.0,2013.0,36.0
KELSEY DEVEREAUX,248.0,36.0,125.0,220.0,150.0,2006.0,23.0
MELISSA DAHUD,350.0,15.0,145.0,84.0,241.0,1754.0,88.0
KIMBERLY O'NEILL,695.0,11.0,125.0,75.0,282.0,1811.0,92.0
DANA ARTESONA ,720.0,11.0,135.0,125.0,240.0,1730.0,22.0
MARIANNE SHEEHAN,889.0,12.0,145.0,71.0,99.0,1821.0,60.0
KAILA TREMBLAY,865.0,5.0,125.0,150.0,255.0,1804.0,45.0
MARIA DEL ROCIO AVILA LOPEZ,730.0,32.0,115.0,199.0,290.0,1804.0,138.0
ASHLEY CASTILLO ,288.0,13.0,145.0,138.0,324.0,1868.0,64.0
REBECCA NARKUNAS,351.0,39.0,150.0,201.0,265.0,2043.0,238.0
JAMIE THOMAS,538.0,17.0,135.0,110.0,150.0,1967.0,66.0
STEPHANIE REYES,720.0,9.0,130.0,135.0,99.0,1779.0,88.0
WHITNEY BRIGGS,261.0,10.0,140.0,151.0,242.0,1914.0,90.0
STEPHANIE  NELSON,720.0,23.0,105.0,131.0,145.0,1741.0,23.0
Rachel Wolff,481.0,32.0,121.0,144.0,159.0,1973.0,48.0
ASHLEY EDDY,930.0,34.0,110.0,136.0,290.0,2023.0,168.0
ELVIA PALACIO,469.0,24.0,100.0,86.0,245.0,1688.0,1168.0
STEPHANIE HARGER,492.0,21.0,95.0,146.0,290.0,1603.0,47.0
LISA VREELAND,473.0,26.0,105.0,100.0,180.0,1724.0,65.0
TAMMY LUITJENS,900.0,11.0,130.0,142.0,203.0,1927.0,64.0
JENI CHANEY,904.0,10.0,125.0,126.0,225.0,1788.0,43.0
BRE SMITH,398.0,10.0,135.0,151.0,263.0,1897.0,119.0
CHLOE COPPERSMITH,382.0,33.0,140.0,155.0,206.0,2020.0,139.0
JAMIE LESK,497.0,9.0,154.0,141.0,150.0,1903.0,45.0
ERIN MAGEE ERIN MAGEE,840.0,10.0,130.0,127.0,80.0,1841.0,44.0
CHELSEA BENNETT,566.0,36.0,140.0,150.0,246.0,1977.0,48.0
SOLENE RICHARD,664.0,17.0,94.0,124.0,217.0,1819.0,61.0
YADIRA GREESON,720.0,27.0,90.0,136.0,90.0,1915.0,63.0
ALEXANDRIA ZIKOYANIS,329.0,43.0,95.0,168.0,293.0,1744.0,45.0
ANGELA VELASQUEZ,720.0,14.0,135.0,144.0,109.0,1895.0,240.0
RACHAEL DURRANCE,495.0,36.0,115.0,155.0,159.0,1894.0,69.0
JEANINE SPAHN-SZTUCHLIK,1038.0,2.0,119.0,115.0,90.0,1863.0,16.0
TARA WOODRUFF,711.0,2.0,120.0,120.0,90.0,1863.0,37.0
NICOLE ONEILL,718.0,34.0,140.0,134.0,180.0,1947.0,92.0
JESSICA  CLARK,950.0,11.0,137.5,85.0,150.0,1645.0,38.0
LISA  FRYIA,476.0,14.0,135.0,145.0,170.0,1856.0,48.0
ALISON SMITH,889.0,3.0,120.0,72.0,170.0,1854.0,34.0
MERCURY SIMONIAN,598.0,30.0,115.0,139.0,205.0,1905.0,120.0
MICHELLE BROOKS,720.0,11.0,130.0,145.0,180.0,1904.0,64.0
DANIELA MEREDIZ LARA,850.0,3.0,115.0,120.0,90.0,1729.0,96.0
TINA FILIPPI,501.0,35.0,130.0,158.0,276.0,1917.0,91.0
EMILY WESTPHAL,519.0,4.0,115.0,134.0,200.0,1813.0,68.0
ASHLIE  TILLEY,690.0,41.0,137.0,116.0,150.0,1902.0,66.0
MISSY RIVERO,850.0,8.0,140.0,72.0,150.0,1583.0,40.0
JENNIFER ADAMS,900.0,22.0,110.0,120.0,167.0,1846.0,16.0
BETH MCCREADY,545.0,29.0,110.0,148.0,222.0,1812.0,70.0
NICOLE PEARL,720.0,6.0,126.0,98.0,130.0,1858.0,25.0
GRISELL RODRIGUEZ,398.0,30.0,150.0,152.0,280.0,1840.0,47.0
JESSICA GONZALEZ,330.0,31.0,120.0,123.0,298.0,1837.0,72.0
MADISON CUMMONS,886.0,22.0,100.0,139.0,188.0,1744.0,45.0
KAYCIE MORGAN,1020.0,28.0,135.0,119.0,162.0,1785.0,64.0
DAPHNE RODRIGUEZ,482.0,27.0,117.0,123.0,290.0,1732.0,44.0
MIRJANA KULICS,371.0,24.0,135.0,159.0,320.0,1708.0,96.0
GABI TORRES,362.0,28.0,110.0,126.0,247.0,1854.0,48.0
