Name,WOD 1,WOD 2,WOD 3,WOD 4,WOD 5,WOD 6,WOD 7
BADKAT LJUBICIC,462.0,35.0,195.0,200.0,170.0,2126.0,334.0
KATHLEEN MITCHELL,468.0,28.0,187.0,199.0,249.0,2003.0,333.0
KIM PURDY,500.0,29.0,161.0,218.0,248.0,2006.0,357.0
TRACY O’CONNELL,457.0,27.0,165.0,233.0,295.0,1991.0,330.0
KONSTANTINA BEKIOU,466.0,24.0,170.0,225.0,276.0,1961.0,646.0
JENNIFER JASPER,602.0,25.0,175.0,207.0,199.0,2062.0,237.0
LAURA MATUSZAK,599.0,29.0,187.0,179.0,207.0,2015.0,212.0
STELLA LADAO,630.0,28.0,175.0,190.0,220.0,1953.0,235.0
ISABELLE GAUTHIER,594.0,30.0,175.0,153.0,227.0,1952.0,307.0
TARA PHILION,648.0,28.0,190.0,185.0,202.0,1955.0,188.0
KEELEY EHLERS,570.0,23.0,170.0,189.0,212.0,1924.0,333.0
GIORGIA DONATO,607.0,22.0,155.0,184.0,201.0,2111.0,215.0
ROCHELLA LARUE,627.0,30.0,170.0,171.0,153.0,2057.0,233.0
WENDY KESTERSON,526.0,26.0,147.0,189.0,150.0,2024.0,356.0
TARA BLANKENSHIP ,702.0,23.0,160.0,193.0,237.0,1940.0,279.0
TÓTH FRIDA,591.0,27.0,187.0,142.0,182.0,2058.0,215.0
TARA  NISSEN,675.0,27.0,170.0,191.0,197.0,1922.0,192.0
LICIA PASSIN,561.0,25.0,150.0,183.0,150.0,2063.0,190.0
KRYSSIE CHANDLER,680.0,22.0,152.0,195.0,159.0,2046.0,189.0
VIVIAN MAO,715.0,24.0,170.0,190.0,188.0,1932.0,215.0
CSILLA CLARK,683.0,25.0,160.0,188.0,150.0,2050.0,163.0
DANA JANKE,681.0,29.0,157.0,183.0,150.0,2068.0,163.0
TERESA LUPUS,582.0,24.0,155.0,195.0,151.0,1848.0,192.0
TRACY HAMILTON BACON,584.0,22.0,147.0,224.0,96.0,2013.0,248.0
SIRLEI ALVES DE OLIVEIRA,659.0,22.0,175.0,183.0,220.0,1845.0,138.0
CINDY HINKLE,503.0,20.0,145.0,182.0,229.0,1944.0,160.0
DANA MATHER,557.0,20.0,148.0,186.0,159.0,1949.0,143.0
CARRIANN HARLAN,559.0,20.0,147.0,185.0,215.0,1864.0,184.0
SHANNON WINSLADE,582.0,19.0,156.0,172.0,215.0,1945.0,92.0
JULIE BASTIAN,535.0,18.0,65.0,181.0,235.0,1810.0,237.0
JANET HATTLESTAD ,747.0,22.0,155.0,172.0,161.0,1946.0,164.0
LEANNE SMITH,737.0,20.0,150.0,201.0,150.0,1886.0,209.0
JANICE  MOONE,726.0,21.0,145.0,183.0,192.0,1934.0,185.0
SHARI WELS,681.0,22.0,145.0,171.0,169.0,1979.0,116.0
JAMIE BURGESS,606.0,20.0,136.0,194.0,131.0,1954.0,188.0
KRISTINE SAFRANEK,773.0,23.0,157.0,169.0,158.0,1926.0,165.0
VALERIE  HANNEMAN ,720.0,19.0,150.0,172.0,207.0,1887.0,141.0
SARAH BENNER,749.0,25.0,170.0,166.0,155.0,1892.0,54.0
LINDA CALDERON,690.0,22.0,156.0,164.0,150.0,1905.0,72.0
JENNIFER  CORNELY,822.0,22.0,157.0,163.0,90.0,1999.0,117.0
KIM PLATT,607.0,20.0,142.5,166.0,150.0,1847.0,163.0
BETH CURRAN,702.0,20.0,145.0,150.0,150.0,1952.0,114.0
CARRIE WAITE,716.0,15.0,135.0,176.0,150.0,1929.0,144.0
CHIARA BISTARELLI ,613.0,10.0,120.0,169.0,151.0,1923.0,111.0
LISA GRIMMER,706.0,9.0,130.0,180.0,108.0,2005.0,116.0
FERNANDA PASSOS,867.0,22.0,147.0,145.0,150.0,1966.0,68.0
SHARON SCHULTZ,763.0,20.0,155.0,147.0,150.0,1875.0,119.0
DAWN  ROGERS,765.0,17.0,150.0,154.0,150.0,1880.0,88.0
EVELYN BOLANIS ,717.0,14.0,135.0,161.0,114.0,1778.0,117.0
NIKI HOWARD,644.0,14.0,165.0,160.0,158.0,1788.0,47.0
RENAY MARTINEZ ,795.0,14.0,131.0,183.0,183.0,1790.0,120.0
CHRISTINE BUESNEL,892.0,9.0,125.0,140.0,101.0,2102.0,90.0
DINA SALMON,795.0,4.0,125.0,147.0,153.0,1787.0,88.0
ISABELLE MORENCY RUIZ,877.0,12.0,134.0,138.0,150.0,1658.0,88.0
LAURA RYAN,886.0,17.0,125.0,152.0,150.0,1649.0,1.0
DESIREE FARCHIONE,720.0,9.0,123.0,121.0,130.0,1875.0,53.0
PARISJAT UMSCHEID,760.0,3.0,130.0,122.0,153.0,1660.0,48.0
PAULA DAVIS,456.0,35.0,115.0,151.0,241.0,1938.0,152.0
CHANTALE BOURGEOIS,720.0,8.0,121.25,132.0,283.0,1863.0,85.0
TRACEY  WEAVER ,899.0,0.0,105.5,169.0,150.0,1803.0,68.0
KRISTA WALBERT,856.0,7.0,120.0,136.0,121.0,1779.0,70.0
JENNIFER COX,891.0,6.0,125.0,119.0,150.0,1725.0,42.0
CARI BLAIR,565.0,27.0,120.0,139.0,230.0,1795.0,43.0
TINA TORRES,610.0,28.0,105.0,63.0,150.0,1849.0,52.0
LILLIANA SOSA,900.0,15.0,95.0,154.0,247.0,1697.0,48.0
KATRINA CHILTON,835.0,17.0,95.0,60.0,195.0,1370.0,22.0
CAROL MEZEN,563.0,29.0,190.0,181.0,156.0,2072.0,0
MINDY LAYNE,928.0,26.0,115.0,66.0,30.0,1625.0,0
DEBORAH SWARTOUT,682.0,18.0,145.0,173.0,207.0,0,0
LAURA CONKLE,720.0,17.0,150.0,173.0,150.0,0,0
TRISH NANOUSKI,793.0,18.0,145.0,157.0,182.0,0,0
VALENTINA BISOGNO,698.0,16.0,147.71,150.0,150.0,0,0
 ANNE COPPOTELLI ,709.0,10.0,135.0,148.0,181.0,0,0
DENISE CONRAD,785.0,18.0,147.0,146.0,150.0,0,0
LUCIE GRECO,720.0,15.0,135.0,134.0,136.0,0,0
VIRGINIA RUSHING ,775.0,12.0,142.5,136.0,150.0,0,0
ROBYN MORGAN ,885.0,20.0,143.0,112.0,115.0,0,0
SHEILA GAZZARD,879.0,3.0,116.0,134.0,150.0,0,0
CORIEN POTGIETER,720.0,28.0,176.0,0,0,0,0
TANYA ALLINA,684.0,21.0,150.0,0,0,0,0
DIXIE GARBER,705.0,21.0,150.0,0,0,0,0
CANDICE WYMA,735.0,10.0,145.0,0,0,0,0
MICHELLE CORRIGAN,538.0,6.0,120.0,0,0,0,0
JOY STAUDER,732.0,21.0,85.0,0,0,0,0
LIZ  FORMAN,750.0,0,0,0,0,0,0
CARMEN MCGEE,0,0,0,0,0,0,0
DANA MIES,0,0,0,0,0,0,0
IVONA  GIL ,0,0,0,0,0,0,0
JACQUELINE  CARDINI,0,0,0,0,0,0,0
JANE EVANS,0,0,0,0,0,0,0
JELENA  ANTONIC ,0,0,0,0,0,0,0
JEN MORRIS,0,0,0,0,0,0,0
JENNIFER GUARINO,0,0,0,0,0,0,0
JENNIFER VAUGHAN,0,0,0,0,0,0,0
JUDY STEWART,0,0,0,0,0,0,0
KARI ZUBACK ,0,0,0,0,0,0,0
KATHRYN  BARNETT ,0,0,0,0,0,0,0
KELLY DEMERS,0,0,0,0,0,0,0
KIM LENNON,0,0,0,0,0,0,0
KRISTINE HATFIELD,0,0,0,0,0,0,0
LESA DURAN,0,0,0,0,0,0,0
MARIA  FUDALA ,0,0,0,0,0,0,0
MISSIE YOUNG,0,0,0,0,0,0,0
RANDI SHELOWITZ ,0,0,0,0,0,0,0
REBECCA SUDER,0,0,0,0,0,0,0
ROSELE PARDELLI ,0,0,0,0,0,0,0
SHARON VASQUEZ,0,0,0,0,0,0,0
VERONICA NOE,0,0,0,0,0,0,0
VIKKI COOPER,0,0,0,0,0,0,0
