Name,WOD 1,WOD 2,WOD 3,WOD 4,WOD 5,WOD 6,WOD 7
REES COOKSY,347.0,37.0,252.0,159.0,292.0,2241.0,826.0
BRYNJAR ARI  MAGNÚSSON ,366.0,39.0,220.46,161.0,274.0,2216.0,359.0
DAVID BRADLEY,308.0,38.0,215.0,164.0,259.0,2203.0,720.0
JUAN RODRIGUEZ,362.0,38.0,225.0,150.0,261.0,2178.0,358.0
ALEX BLAZO,504.0,35.0,216.0,156.0,236.0,2238.0,376.0
IAN  SIELFELD,435.0,29.0,225.0,165.0,229.0,2262.0,263.0
GERARDO GARCÍA PINALES,444.0,38.0,240.0,135.0,239.0,2114.0,284.0
STEPHEN DUHAIME,520.0,38.0,205.0,142.0,230.0,2266.0,308.0
TIM CAREY,526.0,29.0,225.0,172.0,223.0,2294.0,376.0
AZARIAH PRICE,491.0,33.0,205.0,156.0,231.0,2130.0,720.0
AMATO MAZZOCCA,496.0,34.0,205.0,140.0,265.0,2138.0,307.0
WILL CAMPBELL,472.0,29.0,175.0,177.0,272.0,2208.0,621.0
GABRIEL OLIVEIRA,432.0,31.0,206.0,145.0,224.0,2175.0,252.0
PEDRO ZAMBRIM ,464.0,33.0,176.0,145.0,233.0,2138.0,307.0
ZACH LAMMERS,496.0,31.0,228.0,149.0,163.0,2243.0,262.0
BEN BICKERSTAFF,549.0,36.0,181.0,149.0,188.0,2276.0,503.0
ALEX PRESLEY,640.0,36.0,256.0,126.0,211.0,2199.0,305.0
MIGUEL ROO,492.0,31.0,210.0,130.0,220.0,2101.0,526.0
TIMOTHY DAVIS,536.0,32.0,265.0,117.0,232.0,2135.0,239.0
RAFAEL  ALVES ,478.0,33.0,189.0,141.0,232.0,2070.0,238.0
NICHOLAS SCOTT,467.0,33.0,157.0,149.0,254.0,2103.0,239.0
CADE BRAGG,612.0,33.0,205.0,151.0,183.0,2215.0,166.0
NICOLÁS  RAMIREZ,525.0,32.0,205.0,141.0,234.0,2067.0,213.0
JO NEEL,432.0,30.0,206.0,117.0,221.0,2071.0,234.0
DONAVON VOGT,439.0,27.0,205.0,135.0,208.0,2119.0,287.0
GUSTAVO PUSCH,457.0,30.0,167.0,127.0,208.0,2137.0,284.0
TYLER PINKOWSKI ,447.0,25.0,185.0,139.0,212.0,2121.0,235.0
CADEN MATHER,512.0,32.0,178.0,130.0,188.0,2130.0,225.0
JOSET SERRANO PEREZ,470.0,30.0,205.0,119.0,207.0,2033.0,88.0
MAURICIO  ARROYO ,463.0,32.0,195.0,105.0,197.0,2064.0,139.0
RICHARD JAURE,603.0,33.0,175.0,128.0,201.0,2100.0,114.0
BRADEN  MILLS ,604.0,34.0,195.0,121.0,130.0,2125.0,143.0
CARLOS PINEDA,607.0,29.0,225.0,113.0,130.0,2143.0,143.0
TOMMY CARPER,521.0,29.0,167.5,123.0,186.0,2010.0,189.0
POWEI  CHIANG,468.0,28.0,185.0,102.0,172.0,2000.0,165.0
NOAH PATRICK,532.0,28.0,205.0,115.0,136.0,2126.0,115.0
AIDEN ORTA,691.0,24.0,190.0,125.0,218.0,1977.0,233.0
JOSEPH NICOLOSI,580.0,27.0,167.0,112.0,139.0,2138.0,186.0
CONNOR CATHRAE,582.0,22.0,165.0,140.0,134.0,2133.0,144.0
JASON NUCKOLLS,648.0,24.0,200.0,117.0,190.0,2057.0,143.0
NOAH  PENNEY ,594.0,24.0,165.0,126.0,136.0,2131.0,83.0
GAVIN SMITH,543.0,24.0,165.0,106.0,222.0,1821.0,165.0
SAWYER COHEN,808.0,22.0,165.0,117.0,131.0,2038.0,142.0
JOSEPH O'NEILL,521.0,22.0,156.0,84.0,136.0,1958.0,44.0
QUINTEN PICCOLO,680.0,23.0,175.0,81.0,124.0,2009.0,94.0
BRODY BRIGGS,701.0,21.0,160.0,116.0,158.0,1901.0,67.0
DILLON CANNON,629.0,20.0,155.0,108.0,130.0,1986.0,142.0
TAITN  GRAY,428.0,5.0,125.0,162.0,152.0,1885.0,41.0
TRISTAN PELLETIER,579.0,18.0,145.0,61.0,151.0,1835.0,56.0
QADRY WILLIAMS,582.0,12.0,130.0,141.0,139.0,1940.0,95.0
ALEJANDRO HURTADO,781.0,21.0,145.0,62.0,147.0,1954.0,69.0
XAVIER OUELLETTE,720.0,16.0,145.0,78.0,132.0,1958.0,69.0
AIDAN  MEERS,688.0,19.0,155.0,71.0,96.0,1908.0,24.0
MARK ORTIZ,646.0,12.0,135.0,68.0,130.0,1776.0,184.0
GATLIN  ROSE ,642.0,13.0,135.0,47.0,130.0,1781.0,44.0
ETHAN KASSAI,710.0,7.0,123.0,67.0,130.0,1830.0,92.0
DANIEL FUENTES,903.0,14.0,135.0,87.0,90.0,1848.0,67.0
JAMES LAMBERT,720.0,4.0,120.0,70.0,130.0,1871.0,46.0
KAI CHMIELAK,796.0,4.0,115.0,165.0,135.0,1796.0,94.0
LUKE WINKLEMAN,898.0,21.0,100.0,75.0,143.0,1680.0,94.0
PONSAWAT JET SAVUSDIPHOL,467.0,22.0,155.0,99.0,163.0,1925.0,0
RUBEN SORIA ARCE,876.0,28.0,185.0,0,138.0,1988.0,56.0
LISANDRO MAQUEDA,848.0,19.0,159.83,60.0,130.0,1787.0,0
CALEB MIZE,578.0,25.0,165.0,118.0,214.0,0,0
DOMINGO  BERUMEN,680.0,29.0,215.0,108.0,0,1849.0,0
GARRETT AXTON,720.0,20.0,165.0,116.0,180.0,0,0
BRENDON SHEPPARD,720.0,10.0,130.0,140.0,85.0,0,0
HAYDEN MANAHAN,360.0,24.0,165.0,132.0,0,0,0
COLIN GOULD,764.0,10.0,130.0,103.0,0,0,0
OTTO RECONNU,453.0,29.0,125.0,121.0,0,0,0
TYSON  REATHAFORD ,834.0,30.0,205.0,0,0,0,0
HAYDEN BENNETT,672.0,20.0,155.0,0,0,0,0
SAMMY  GARCIA,720.0,21.0,156.0,0,0,0,0
LOGAN CARTER,720.0,22.0,145.0,0,0,0,0
ADEL FERNANDEZ,0,0,0,0,0,0,0
AMATO MAZZOCCA,0,0,0,0,0,0,0
BENJAMIN CONCHA,0,0,0,0,0,0,0
BORGTHOR JOHANNSSON,0,0,0,0,0,0,0
DAVID  SUTHERS,0,0,0,0,0,0,0
ERIN DAWSON,0,0,0,0,0,0,0
JONATHAN  FERNANDEZ ,0,0,0,0,0,0,0
KAYLEB QUINTERO,0,0,0,0,0,0,0
LORI BAKERLOAQ!,0,0,0,0,0,0,0
ROBBIE ADAMS ,0,0,0,0,0,0,0
TREY ROBLEDO,0,0,0,0,0,0,0
