Name,WOD 1,WOD 2,WOD 3,WOD 4,WOD 5,WOD 6,WOD 7
SEQUOIA BARRERA,398.0,31.0,225.0,197.0,261.0,2081.0,404.0
FAITH FERGUSON ,442.0,31.0,205.0,211.0,266.0,2024.0,429.0
SOPHIA GRIMMER,410.0,34.0,180.0,210.0,238.0,2169.0,489.0
SERENA GOODE,399.0,32.0,192.0,228.0,268.0,2023.0,285.0
ELLIE KERSTETTER,413.0,33.0,186.0,211.0,244.0,2068.0,382.0
MIKAELA SENKUS,439.0,33.0,216.0,198.0,224.0,2080.0,260.0
LAURA SANCHEZ,409.0,30.0,190.0,206.0,247.0,1990.0,311.0
LINDSEY PORTER,400.0,35.0,195.0,172.0,262.0,2056.0,304.0
TORI DOW,434.0,32.0,190.0,196.0,252.0,1983.0,333.0
ANNALISE MOORE,407.0,30.0,190.0,183.0,280.0,2011.0,376.0
MORGAN GRAY,476.0,33.0,170.0,208.0,243.0,2072.0,312.0
TESSA MARQUETTE,427.0,31.0,197.0,194.0,250.0,1964.0,287.0
MIA NIGHTINGALE,508.0,29.0,195.0,190.0,230.0,2026.0,331.0
SENA ERICKSON,387.0,23.0,157.5,225.0,269.0,2070.0,429.0
ZOË KERR,536.0,29.0,188.0,199.0,242.0,2087.0,212.0
HANNAH HALL,532.0,32.0,205.0,181.0,220.0,2086.0,278.0
CAITLYN O'LEARY,587.0,29.0,191.0,191.0,235.0,2031.0,212.0
GABRIELLE BASTIEN,542.0,28.0,185.0,189.0,250.0,1977.0,283.0
CALLISTA LANG,428.0,28.0,173.0,185.0,206.0,2005.0,357.0
DEVYN KIM,480.0,28.0,175.0,188.0,237.0,2021.0,187.0
JULIA FELDMAIER,588.0,27.0,175.0,210.0,233.0,2016.0,209.0
EMILY  HOGAN,448.0,29.0,182.0,185.0,201.0,1947.0,232.0
JACKIE VIOLETTE,474.0,28.0,155.0,194.0,228.0,1908.0,430.0
MYA BRUBACHER,508.0,25.0,175.0,185.0,170.0,2075.0,284.0
BIRTA LÍF ÞÓRARINSDÓTTIR ,498.0,27.0,183.0,190.0,159.0,1994.0,166.0
ALEX WILLIS,642.0,26.0,180.0,198.0,164.0,2078.0,204.0
EMMA  SPATH,556.0,27.0,195.0,180.0,222.0,1932.0,259.0
BROOKLIN SMITH,574.0,27.0,185.0,207.0,204.0,1872.0,213.0
