workout_5605,workout_5606,workout_5607
342.0,35.0,305.0
339.0,36.0,295.0
301.0,40.0,285.0
378.0,34.0,307.0
289.0,44.0,283.0
332.0,31.0,310.0
366.0,35.0,297.0
364.0,32.0,305.0
351.0,33.0,290.0
368.0,34.0,295.0
359.0,35.0,286.0
336.0,33.0,285.0
326.0,36.0,279.0
398.0,35.0,305.0
370.0,33.0,295.0
342.0,33.0,285.0
350.0,37.0,280.0
338.0,31.0,297.0
383.0,36.0,290.0
415.0,35.0,325.0
338.0,34.0,277.0
378.0,31.0,305.0
331.0,30.0,305.0
395.0,35.0,292.0
364.0,32.0,287.0
386.0,33.0,292.0
360.0,31.0,295.0
390.0,31.0,315.0
291.0,31.0,285.0
429.0,39.0,330.0
364.0,36.0,277.0
403.0,32.0,305.0
370.0,31.0,295.0
374.0,31.0,295.0
419.0,35.0,302.0
410.0,33.0,297.0
396.0,34.0,285.0
436.0,35.0,315.0
375.0,33.0,280.0
407.0,32.0,300.0
412.0,32.0,302.0
388.0,32.0,287.0
395.0,32.0,290.0
369.0,32.0,280.0
425.0,32.0,310.0
412.0,35.0,286.0
318.0,31.0,277.0
388.0,32.0,285.0
379.0,33.0,278.0
369.0,33.0,275.0
320.0,42.0,265.0
328.0,30.0,285.0
418.0,33.0,290.0
361.0,30.0,290.0
363.0,32.0,275.0
404.0,32.0,285.0
401.0,31.0,290.0
413.0,35.0,280.0
389.0,31.0,286.0
422.0,32.0,295.0
386.0,33.0,275.0
347.0,31.0,275.0
348.0,33.0,270.0
401.0,34.0,275.0
385.0,31.0,284.0
345.0,35.0,265.0
363.0,29.0,297.0
392.0,30.0,300.0
353.0,31.0,275.0
354.0,31.0,275.0
414.0,33.0,282.0
433.0,33.0,287.0
379.0,31.0,277.0
331.0,33.0,265.0
327.0,32.0,267.0
410.0,31.0,285.0
419.0,31.0,290.0
380.0,34.0,270.0
442.0,31.0,305.0
393.0,31.0,277.0
415.0,32.0,278.0
419.0,32.0,280.0
357.0,32.0,267.0
341.0,31.0,271.0
440.0,30.0,335.0
385.0,34.0,266.0
413.0,32.0,275.0
351.0,31.0,270.0
378.0,29.0,285.0
340.0,33.0,262.0
379.0,30.0,277.0
377.0,28.0,295.0
483.0,34.0,307.0
438.0,30.0,301.0
419.0,30.0,287.0
425.0,32.0,275.0
403.0,30.0,280.0
480.0,35.0,295.0
471.0,33.0,292.0
432.0,32.0,275.0
427.0,31.0,277.0
379.0,31.0,270.0
361.0,31.0,265.0
457.0,30.0,310.0
356.0,33.0,255.0
408.0,29.0,285.0
407.0,33.0,265.0
451.0,30.0,301.0
479.0,32.0,296.0
351.0,28.0,276.0
497.0,32.0,318.0
413.0,30.0,277.0
355.0,30.0,266.0
426.0,30.0,280.0
418.0,29.0,285.0
408.0,30.0,275.0
408.0,30.0,275.0
399.0,28.0,285.0
454.0,30.0,295.0
450.0,31.0,277.0
397.0,31.0,265.0
440.0,31.0,275.0
378.0,32.0,255.0
405.0,31.0,266.0
365.0,30.0,265.0
366.0,30.0,265.0
455.0,30.0,287.5
450.0,31.0,276.0
